City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
146,Tuy Hoa,VN,77.76,broken clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
149,Kahului,US,84.22,few clouds,20.89,-156.47,Maui Seaside Hotel
153,Mount Gambier,AU,84.11,light rain,-37.83,140.77,The Commodore
154,Carnarvon,AU,84.27,clear sky,-24.87,113.63,Hospitality Carnarvon
155,Popondetta,PG,85.69,overcast clouds,-8.75,148.25,Timos Transit House
165,Acajutla,SV,76.8,clear sky,13.59,-89.83,Urbanización Brisas de Acajutla II
166,Aborlan,PH,84.04,broken clouds,9.44,118.55,Kevina Transient House
167,Boyolangu,ID,85.26,broken clouds,-8.12,111.89,Yos ega cv
172,Kerema,PG,84.74,broken clouds,-7.96,145.78,Frena Lodge
175,Port-Gentil,GA,80.06,broken clouds,-0.72,8.78,Fengshui Residence
177,Buala,SB,83.05,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
178,Kavieng,PG,83.88,light rain,-2.57,150.8,Nusa Island Retreat
181,Vao,NC,77.65,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
184,Ahipara,NZ,76.14,clear sky,-35.17,173.17,Ahipara Holiday Park
185,Metro,ID,82.9,overcast clouds,-5.11,105.31,OYO 3177 Wisma Lintang
188,Boa Vista,BR,84.18,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
192,Sulangan,PH,81.05,scattered clouds,11.14,123.72,Maia's Beach Resort
194,Hilo,US,76.24,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
195,Port Blair,IN,82.44,few clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
197,Biak,ID,83.34,overcast clouds,-0.91,122.88,Penginapan Kim
200,Cap Malheureux,MU,75.69,clear sky,-19.98,57.61,Pereybere Hotel & Spa
201,Guarapari,BR,75.09,clear sky,-20.67,-40.5,Hotel Porto do Sol
202,Harper,LR,77.49,clear sky,4.38,-7.72,Screensaver
208,Kalmunai,LK,76.82,broken clouds,7.42,81.82,VS Villa
209,Caravelas,BR,75.0,light rain,-17.71,-39.25,Pousada dos Navegantes
210,Pandan,PH,79.43,broken clouds,14.05,124.17,Bonifacio Lodge
211,Sao Joao Da Barra,BR,75.38,clear sky,-21.64,-41.05,Pousada Porto De Canoas
217,Kralendijk,BQ,78.78,few clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
219,Trincomalee,LK,76.06,overcast clouds,8.57,81.23,Welcombe Hotel
222,Kirakira,SB,85.96,moderate rain,-10.45,161.92,SanBiz Lodge
235,Wanning,CN,76.37,overcast clouds,18.8,110.4,Paradise Hotel
236,Barabai,ID,84.34,light rain,-2.58,115.38,Joko Homestay
240,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.08,Scoop Guest House
246,Domoni,KM,77.47,light rain,-12.26,44.53,Loulou
247,Vieques,PR,77.04,scattered clouds,18.43,-65.83,"The St. Regis Bahia Beach Resort, Puerto Rico"
248,Yeppoon,AU,87.58,broken clouds,-23.13,150.73,Villa Mar Colina
252,Mercedes,AR,76.89,scattered clouds,-34.65,-59.43,Posada del Inti Centro
264,Bafoulabe,ML,76.19,overcast clouds,13.81,-10.83,Logement du Chargé SIS Abdoul Karim Konaté
267,Black River,JM,78.8,scattered clouds,18.03,-77.85,Idlers' Rest Beach Hotel
275,Isangel,VU,85.55,light rain,-19.55,169.27,Tanna Lodge
283,Pasir Gudang,MY,84.36,scattered clouds,1.46,103.88,Swan Garden Hotel
295,Davila,PH,85.98,overcast clouds,18.47,120.58,Blue Ridge Beach Resort
296,Limbang,MY,77.31,overcast clouds,4.75,115.0,Purnama Hotel
298,Soyo,AO,77.22,overcast clouds,-6.13,12.37,Hotel Mpampa
300,Maceio,BR,80.04,scattered clouds,-9.67,-35.74,Poutur Pousada
301,Cockburn Town,TC,76.96,clear sky,21.46,-71.14,Osprey Beach Hotel
307,Nabannagan,PH,76.19,broken clouds,18.07,121.53,
313,Sampit,ID,77.72,overcast clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
314,Kuah,MY,87.78,few clouds,6.33,99.84,Azio Hotel
320,Weligama,LK,76.71,broken clouds,5.97,80.42,Weligama Bay Resort
323,Torit,SS,77.25,few clouds,4.41,32.57,Diplomat Guest House
324,Charlestown,AU,79.56,overcast clouds,-32.95,151.67,Panorama Motor Inn Hotel
325,Makakilo City,US,79.12,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
332,Lorengau,PG,85.12,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
335,Mahajanga,MG,77.02,light rain,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
341,Ternate,ID,85.77,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
344,Honiara,SB,83.5,overcast clouds,-9.43,159.95,Heritage Park Hotel
347,Elayirampannai,IN,79.25,overcast clouds,9.27,77.83,
350,Cabedelo,BR,79.47,light rain,-6.98,-34.83,Hotel Pigalle
352,Sao Filipe,CV,75.72,clear sky,14.9,-24.5,Hotel Xaguate
355,Port Antonio,JM,78.71,clear sky,18.18,-76.46,The Trident Hotel
356,Sola,VU,81.82,overcast clouds,-13.88,167.55,Ulkel Guest House
358,Maumere,ID,84.2,broken clouds,-8.62,122.21,Sylvia Hotel
359,Ugoofaaru,MV,80.13,overcast clouds,5.67,73.0,Ungoofaaru Inn
369,Dakar,SN,77.88,overcast clouds,14.69,-17.44,Redface Studios Meublés
370,Gold Coast,AU,76.26,overcast clouds,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
372,Ishigaki,JP,75.33,scattered clouds,24.34,124.16,Hotel Peace Land Ishigakijima
375,Peringat,MY,82.35,few clouds,6.03,102.28,Daseda Guest House
378,Madang,PG,85.78,broken clouds,-5.22,145.8,Comfort Inn Hotel
396,Puerto Escondido,MX,77.47,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
402,Ballina,AU,77.18,scattered clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
406,West Bay,KY,77.07,few clouds,19.37,-81.42,Calypso Cove
413,Koungheul,SN,77.16,overcast clouds,13.98,-14.8,
416,Paka,MY,78.73,scattered clouds,4.64,103.44,RUMBIA RESORT VILLA Paka Terengganu
418,Pemba,MZ,79.5,broken clouds,-12.97,40.52,Guesthouse Samotina
421,Balabac,PH,82.22,light rain,7.99,117.06,Sing and Swing Lodge
424,Pemangkat,ID,82.6,few clouds,1.17,108.97,Ramah Kost KITA
429,Cozumel,MX,77.11,clear sky,20.51,-86.95,Cozumel Palace® All Inclusive Resort
442,Galle,LK,76.23,overcast clouds,6.04,80.22,Amangalla
444,Ilhabela,BR,75.94,broken clouds,-23.78,-45.36,Ilha Flat Hotel
448,Sinnamary,GF,75.85,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
457,Pucallpa,PE,75.24,overcast clouds,-8.38,-74.55,Hostal Antonios - Pucallpa
475,Quatre Cocos,MU,75.31,few clouds,-20.21,57.76,Sunrise Attitude Hotel
477,Meulaboh,ID,82.24,broken clouds,4.14,96.13,Kost Pria
479,Mount Isa,AU,89.37,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
482,Flinders,AU,79.88,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
490,Banda Aceh,ID,82.94,broken clouds,5.56,95.32,Sulthan Hotel International
491,Neuquen,AR,78.69,clear sky,-38.95,-68.06,Hotel del Comahue
507,Atambua,ID,81.95,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
508,Ngunguru,NZ,79.16,few clouds,-35.62,174.5,Pacific Rendezvous Motel Resort
518,Natal,BR,80.82,mist,-5.79,-35.21,Hotel Natal
521,Nha Trang,VN,82.4,scattered clouds,12.25,109.18,Sheraton Nha Trang Hotel & Spa
532,Kununurra,AU,82.38,overcast clouds,-15.77,128.73,Hotel Kununurra
536,Bambous Virieux,MU,75.45,scattered clouds,-20.34,57.76,Casa Tia Villa
544,Santa Fe,AR,78.03,overcast clouds,-31.63,-60.7,Conquistador Hotel
555,Dingle,PH,82.56,overcast clouds,11.0,122.67,SEGAYA PROPERTY
569,Itarema,BR,79.48,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
574,Ntoum,GA,76.32,overcast clouds,0.38,9.78,Hôtel Santa Barbara
577,Assis,BR,75.33,scattered clouds,-22.66,-50.41,Santa Rosa Palace Hotel
583,Acapulco,MX,76.59,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
585,Monrovia,LR,77.13,clear sky,6.3,-10.8,Eco-Hotel Hall & Restaurant
590,Denpasar,ID,87.46,few clouds,-8.65,115.22,OYO 2225 Catur Adi Putra
593,Padang,ID,82.45,overcast clouds,-0.95,100.35,Mercure Padang
597,Cotonou,BJ,75.18,dust,6.37,2.42,Novotel Cotonou Orisha
601,Takoradi,GH,76.78,clear sky,4.88,-1.76,Raybow International Hotel
603,Alyangula,AU,89.47,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
604,San Pedro,PH,84.31,scattered clouds,14.35,121.02,Villa Veronica Resort Private Pool
622,Kattivakkam,IN,80.08,overcast clouds,13.22,80.32,Euronova Freezer
623,Naifaru,MV,80.11,overcast clouds,5.44,73.37,Naifaru Residence Guest House
628,Poum,NC,80.76,scattered clouds,-20.23,164.02,Gîte kajeon
629,Tiarei,PF,87.82,light rain,-17.53,-149.33,Le Rocher de Tahiti
637,Morant Bay,JM,78.42,clear sky,17.88,-76.41,Whispering Bamboo Cove Resort
650,Jeremie,HT,76.51,scattered clouds,18.65,-74.12,Auberge’Inn
664,Bodden Town,KY,77.0,few clouds,19.28,-81.25,Will T Place
671,Kamphaeng Phet,TH,83.03,clear sky,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
672,Ahuimanu,US,80.31,clear sky,21.44,-157.84,Paradise Bay Resort
675,Namibe,AO,75.47,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
676,Tabou,CI,76.78,clear sky,4.42,-7.35,hotêl doufoulougou
