City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Lagoa,PT,39.05,-27.98,58.53,83,100,7.9,overcast clouds
145,Karratha,AU,-20.74,116.85,88.61,58,1,12.03,clear sky
146,Tuy Hoa,VN,13.08,109.3,77.76,78,63,8.63,broken clouds
147,Rome,US,34.26,-85.16,49.5,66,0,1.99,clear sky
148,Aswan,EG,24.09,32.91,43.9,39,0,6.91,clear sky
149,Kahului,US,20.89,-156.47,84.22,61,20,13.8,few clouds
150,Udachnyy,RU,66.42,112.4,2.44,84,100,4.32,overcast clouds
151,Henties Bay,NA,-22.12,14.28,66.85,89,35,10.33,scattered clouds
152,Ovsyanka,RU,55.96,92.55,6.22,96,100,2.98,overcast clouds
153,Mount Gambier,AU,-37.83,140.77,84.11,37,75,17.27,light rain
154,Carnarvon,AU,-24.87,113.63,84.27,54,0,13.8,clear sky
155,Popondetta,PG,-8.75,148.25,85.69,73,100,3.53,overcast clouds
156,Hyeres,FR,43.12,6.12,39.33,93,0,6.91,clear sky
157,Skibbereen,IE,51.55,-9.27,42.6,86,23,1.54,few clouds
158,Haldia,IN,22.06,88.11,71.22,62,6,4.83,clear sky
159,Tongliao,CN,43.61,122.27,13.75,74,2,12.03,clear sky
160,Severo-Kurilsk,RU,50.68,156.12,26.6,61,36,6.85,scattered clouds
161,Pisco,PE,-13.7,-76.22,68.05,83,0,14.97,clear sky
162,Cherskiy,RU,68.75,161.3,-42.86,99,63,5.17,broken clouds
163,Boli,CN,45.77,130.52,15.73,77,100,7.27,overcast clouds
164,Springdale,US,36.19,-94.13,29.93,42,100,10.0,overcast clouds
165,Acajutla,SV,13.59,-89.83,76.8,81,0,5.68,clear sky
166,Aborlan,PH,9.44,118.55,84.04,71,81,3.69,broken clouds
167,Boyolangu,ID,-8.12,111.89,85.26,67,79,3.36,broken clouds
168,Barcelona,ES,41.39,2.16,49.71,81,20,4.0,few clouds
169,Kisangani,CD,0.52,25.2,70.41,92,96,2.3,overcast clouds
170,Kodiak,US,57.79,-152.41,29.71,59,0,5.75,clear sky
171,Noyabrsk,RU,63.2,75.45,-3.62,100,99,12.93,overcast clouds
172,Kerema,PG,-7.96,145.78,84.74,76,79,5.68,broken clouds
173,Lere,NG,10.39,8.57,60.39,22,15,8.75,few clouds
174,Dukat,RU,62.55,155.55,-26.5,98,100,2.33,overcast clouds
175,Port-Gentil,GA,-0.72,8.78,80.06,79,75,8.72,broken clouds
176,Juneau,US,58.3,-134.42,39.22,96,100,5.75,snow
177,Buala,SB,-8.14,159.59,83.05,76,95,7.16,overcast clouds
178,Kavieng,PG,-2.57,150.8,83.88,75,89,8.25,light rain
